nguy hiểm,نفايات الإنسان أو الحيوان,Chất thải của con người hoặc động vật,ar
nguy hiểm,مسرح الجريمة ,Hiện trường vụ án,ar
nguy hiểm,انفجارات,Vụ nổ,ar
nguy hiểm,تفجير انتحاري,Đánh bom liều chết,ar
nguy hiểm,والتحول الديني للمسلمين,Cải đạo tôn giáo của người hồi giáo,ar
nguy hiểm,القنابل الكيميائية,Bom hóa học,ar
nguy hiểm,قنبلة يدوية,Lựu đạn,ar
nguy hiểm,هجوم انتحاري,Tấn công tự sát,ar
nguy hiểm,كيفية تصنيع القنبلة,Cách chế tạo bom,ar
nguy hiểm,بنادق مطبوعة ثلاثية الأبعاد,Súng in 3D,ar
nguy hiểm,التهريب (المهربون),Buôn lậu,ar
nguy hiểm,الاتجار بالأطفال,Buôn bán trẻ em,ar
nguy hiểm,الذخيرة,Đạn dược,ar
nguy hiểm,سلاح كيميائي,Vũ khí hóa học,ar
nguy hiểm,القوة البيضاء,Quyền lực trắng,ar
nguy hiểm,مسدسات الصعق الكهربائي,Súng điện,ar
nguy hiểm,تفوق البيض,Quyền tối cao của người da trắng,ar
nguy hiểm,رذاذ الفلفل,Bình xịt hơi cay,ar
nguy hiểm,سكاكين عسكرية,Dao quân sự,ar
nguy hiểm,سكاكين القتال,Dao chiến đấu,ar
nguy hiểm,مضغ التبغ,Nhai thuốc lá,ar
nguy hiểm,أنابيب التبغ,Tẩu thuốc lá,ar
nguy hiểm,الكريستال ميث,Ma túy đá,ar
nguy hiểm,كوكايين,Cocaine,ar
nguy hiểm,ميفيدرون,,ar
nguy hiểm,استخدام المخدرات,Sử dụng ma túy,ar
nguy hiểm,كازينو عبر الإنترنت ,Sòng bạc trực tuyến,ar
nguy hiểm,النازية الجديدة,Chủ nghĩa phát xít mới,ar
nguy hiểm,مراهنات رياضية,Cá cược thể thao,ar
nguy hiểm,هيروين,,ar
nguy hiểm,قنب هندي,Cần sa,ar
nguy hiểm,سحق الحيوانات,Nghiền nát động vật,ar
nguy hiểm,فكر انتحاري,Ý tưởng tự sát,ar
nguy hiểm,الجهاد,Thánh chiến,ar
nguy hiểm,قتال الكلاب,Chọi chó,ar
nguy hiểm,بيع قرن وحيد القرن,Bán sừng tê giác,ar
nguy hiểm,التهديدات الإرهابية,Đe dọa khủng bố,ar
nguy hiểm,الاتجار بالأعضاء البشرية,Buôn bán nội tạng người,ar
nguy hiểm,تشويه الأعضاء التناسلية للإناث,Cắt bộ phận sinh dục nữ,ar
nguy hiểm,شغب ديني,Bạo loạn tôn giáo,ar
nguy hiểm,أعمال شغب عنصرية,Bạo loạn chủng tộc,ar
nguy hiểm,قتل العقد,Hợp đồng giết người,ar
nguy hiểm,قطع الرأس,Chặt đầu,ar
nguy hiểm,التحريض على العنف,Kích động bạo lực,ar
nguy hiểm,استغلال الأطفال,Bóc lột trẻ em,ar
nguy hiểm,تعليمات السرقة,Hướng dẫn trộm cắp,ar
nguy hiểm,دليل الاحتيال,Hướng dẫn gian lận,ar
nguy hiểm,طرق الانتحار,Các phương pháp tự tử,ar
