nguy hiểm,Déchets Humains Ou Animaux,Chất thải của con người hoặc động vật,fr
nguy hiểm,Scène De Crime Ou Accident,Hiện trường vụ án hoặc tai nạn,fr
nguy hiểm,Explosion,Vụ nổ,fr
nguy hiểm,Attentat-Suicide,Đánh bom liều chết,fr
nguy hiểm,Bombes À Ongles,Bom đinh,fr
nguy hiểm,Bombes Chimiques,Bom hóa học,fr
nguy hiểm,Grenades,Lựu đạn,fr
nguy hiểm,Pétards,Pháo nổ,fr
nguy hiểm,Guides De Fabrication De Bombes,Hướng dẫn chế tạo bom,fr
nguy hiểm,Pistolets Imprimés En 3D,Súng in 3D,fr
nguy hiểm,Pistolets Sib,Súng BB,fr
nguy hiểm,Pistolets Airsoft,Súng hơi hạng nhẹ,fr
nguy hiểm,Munition,Đạn dược,fr
nguy hiểm,Arme Chimique,Vũ khí hóa học,fr
nguy hiểm,Jeter Des Étoiles,Ném ngôi sao,fr
nguy hiểm,Taser,Súng điện,fr
nguy hiểm,Poing Américain,Đốt ngón tay bằng đồng,fr
nguy hiểm,Spray Au Poivre,Bình xịt hơi cay,fr
nguy hiểm,Couteaux Militaires,Dao quân sự,fr
nguy hiểm,Couteaux De Combat,Dao chiến đấu,fr
nguy hiểm,Mâcher Du Tabac,Nhai thuốc lá,fr
nguy hiểm,Pipes À Tabac,Tẩu thuốc lá,fr
nguy hiểm,Méthamphétamine,Ma túy đá,fr
nguy hiểm,Substituts De Cocaïne,Chất thay thế cocaine,fr
nguy hiểm,Méphédrone,,fr
nguy hiểm,Usage De Stupéfiants,Sử dụng ma túy,fr
nguy hiểm,"Représentation Favorable De La Consommation Excessive, Excessive Ou De Compétition",Mô tả thuận lợi về uống rượu,fr
nguy hiểm,Casinos En Ligne Ou Bookmakers,"Sòng bạc, nhà cái trực tuyến",fr
nguy hiểm,Achat De Billets De Loterie En Ligne Ou De Cartes À Gratter,"Mua vé số, thẻ cào trực tuyến",fr
